Cohesion,Alignment
0.444631,4
0.445152,4
0.446079,4
0.447216,4
0.448375,4
0.449625,4
0.451058,4
0.452518,4
0.453967,4
0.455403,4
0.456827,3
0.458238,3
0.459634,3
0.461016,3
0.462383,2
0.463733,2
0.465067,2
0.466383,2
0.467681,2
0.468858,2
0.469947,2
0.471015,2
0.472057,2
0.472959,2
0.473783,2
0.474573,2
0.475488,2
0.476373,3
0.477229,3
0.478055,3
0.47885,3
0.479614,3
0.480347,3
0.481046,3
0.481714,3
0.482347,3
0.482947,3
0.483525,3
0.484087,3
0.484441,3
0.484724,3
0.484965,3
0.485508,3
0.486122,3
0.486623,3
0.487127,3
0.487408,3
0.487716,3
0.48801,3
0.48828,3
0.488486,3
0.488721,3
0.488786,3
0.488769,3
0.488746,3
0.488783,3
0.488862,3
0.488875,3
0.488808,3
0.488764,3
0.488534,3
0.488249,3
0.487942,3
0.487768,3
0.48768,3
0.487387,3
0.487068,3
0.487085,3
0.487134,3
0.48736,3
0.487826,3
0.488276,3
0.488709,3
0.488881,3
0.489018,3
0.489392,3
0.490173,3
0.492595,3
0.4956,3
0.498666,3
0.501777,3
0.505149,3
0.508732,3
0.512356,3
0.516023,3
0.519755,3
0.523557,3
0.527396,3
0.531358,3
0.535386,3
0.539717,3
0.54435,3
0.549061,3
0.553853,3
0.558728,3
0.563687,2
0.568732,1
0.573866,1
0.579091,1
0.584409,1
0.589823,1
0.595333,1
0.600944,1
0.606658,1
0.612476,1
0.618402,1
0.624439,1
0.630587,1
0.636851,1
0.643233,1
0.649735,1
0.656361,1
0.663111,1
0.66999,1
0.676998,1
0.684138,1
0.691411,1
0.698819,1
0.706362,1
0.714039,1
0.72185,1
0.72979,1
0.737855,1
0.746037,1
0.754321,1
0.76269,1
0.770953,1
0.779202,1
0.787558,1
0.795977,1
0.804195,1
0.812185,1
0.820104,1
0.828296,1
0.836684,1
0.844821,1
0.852147,1
0.859039,1
0.864506,1
0.868528,1
0.871639,1
